DexNumber,Name,FlavorText,Grass,Water,Fire
37,Vulpix,"At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its Trainer. The six tails become magnificently curled.",0,0,1
37,Vulpix,"When it is born, it has just one snow-white tail. The tail splits from its tip as it grows older.",0,0,1
37,Vulpix,"If it is attacked by an enemy that is stronger than itself, it feigns injury to fool the enemy and escapes.",0,0,1
37,Vulpix,"As it develops, its single white tail gains color and splits into six. It is quite warm and cuddly.",0,0,1
37,Vulpix,"It can freely control fire, making fiery orbs fly like will-o’-the-wisps. Just before evolution, its six tails grow hot  as if on fire.",0,0,1
37,Vulpix,"As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur.",0,0,1
37,Vulpix,"As it develops,  its single white tail gains color and splits into six. It is quite warm and cuddly.",0,0,1
37,Vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",0,0,1
38,Ninetales,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.,0,0,1
38,Ninetales,"Its nine tails are said to be imbued with a mystic power. The Pokémon is said to live for 1,000 years.",0,0,1
38,Ninetales,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",0,0,1
38,Ninetales,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",0,0,1
38,Ninetales,"According to an enduring legend, nine noble saints were united and reincarnated as this Pokémon.",0,0,1
38,Ninetales,"The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks.",0,0,1
38,Ninetales,"It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.",0,0,1
38,Ninetales,"Said to live for a thousand years, this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.",0,0,1
38,Ninetales,Legend has it that this mystical Pokémon was formed when nine saints coalesced into one.,0,0,1
38,Ninetales,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,0,0,1
38,Ninetales,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe’s mind. This Pokémon is said to live for a thousand years.,0,0,1
38,Ninetales,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.",0,0,1
38,Ninetales,"Each of its nine tails is imbued with supernatural power, and it can live for a thousand years.",0,0,1
38,Ninetales,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.,0,0,1
38,Ninetales,"Its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1,000 years.",0,0,1
38,Ninetales,Some legends claim that each of its nine tails has its own unique type of special mystical power.,0,0,1
38,Ninetales,It has long been said that each of the nine tails embody an enchanted power. A long-lived NINETALES will have fur that shines like gold.,0,0,1
38,Ninetales,"It has nine long tails and fur that  gleams gold. It is said to live for  1,000 years.",0,0,1
38,Ninetales,Legend has it that NINETALES came into being when nine wizards possessing sacred powers merged into one. This POKéMON is highly intelligent - it can understand human speech.,0,0,1
38,Ninetales,"It is said to live a thousand years, and each of its tails is loaded with supernatural powers.",0,0,1
38,Ninetales,"According to an enduring legend, 9 noble saints were united and reincarnated as this POKéMON.",0,0,1
38,Ninetales,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,0,0,1
43,Oddish,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.,1,0,0
43,Oddish,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",1,0,0
43,Oddish,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",1,0,0
43,Oddish,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly.",1,0,0
43,Oddish,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",1,0,0
43,Oddish,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.",1,0,0
43,Oddish,"Its scientific name is “Oddium Wanderus.” At night, it is said to walk nearly 1,000 feet on its two roots.",1,0,0
43,Oddish,"Awakened by moonlight, it roams actively at night. In the day, it stays quietly underground.",1,0,0
43,Oddish,"This POKéMON grows by absorbing moonlight. During the daytime, it buries itself in the ground, leaving only its leaves exposed to avoid detection by its enemies.",1,0,0
43,Oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",1,0,0
43,Oddish,"During the daytime, ODDISH buries itself in soil to absorb nutrients from  the ground using its entire body. The more fertile the soil, the glossier its leaves become.",1,0,0
43,Oddish,"Awakened by moonlight, it roams  actively at night. In the day, it stays quietly underground.",1,0,0
44,Gloom,The nectar it drools from its mouth smells so atrocious that it can make noses curl from more than a mile away.,1,0,0
44,Gloom,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,1,0,0
44,Gloom,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,1,0,0
44,Gloom,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.",1,0,0
44,Gloom,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",1,0,0
44,Gloom,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.",1,0,0
44,Gloom,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.",1,0,0
44,Gloom,"It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close.",1,0,0
44,Gloom,"A horribly noxious honey drools from its mouth. One whiff of the honey can result in memory loss. Some fans are said to enjoy this overwhelming stink, however.",1,0,0
44,Gloom,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,1,0,0
44,Gloom,"From its mouth GLOOM drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then  drools even more of its honey.",1,0,0
44,Gloom,"The smell from its drool-like syrup and the pollen on its petals is so bad, it may make opponents faint.",1,0,0
44,Gloom,"Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose-bending stink.",1,0,0
45,Vileplume,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen.",1,0,0
45,Vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",1,0,0
45,Vileplume,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",1,0,0
45,Vileplume,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.,1,0,0
45,Vileplume,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",1,0,0
45,Vileplume,"Vileplume’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.",1,0,0
45,Vileplume,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen.",1,0,0
45,Vileplume,"In seasons when it produces more pollen, the air around a VILEPLUME turns yellow with the powder as it walks. The pollen is highly toxic and causes paralysis.",1,0,0
45,Vileplume,Its petals are the largest in the world. It fiendishly scatters allergy-causing pollen from its petals.,1,0,0
45,Vileplume,"By shaking its big petals, it scatters toxic pollen into the air, turning the air yellow.",1,0,0
46,Paras,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.,1,0,0
46,Paras,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.,1,0,0
46,Paras,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,1,0,0
46,Paras,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.",1,0,0
46,Paras,"Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right.",1,0,0
46,Paras,Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,1,0,0
46,Paras,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",1,0,0
46,Paras,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,1,0,0
46,Paras,Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host.,1,0,0
46,Paras,"As its body grows, large mushrooms named tochukaso start sprouting out of its back.",1,0,0
46,Paras,"It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back.",1,0,0
46,Paras,A PARAS has parasitic tochukaso mushrooms growing on its back. They grow by drawing nutrients from the host. They are valued as a medicine for long life.,1,0,0
46,Paras,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,1,0,0
46,Paras,PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from the BUG POKéMON host. They are highly valued as a medicine for extending life.,1,0,0
46,Paras,The tochukaso growing on this POKéMON’s back orders it to extract juice from tree trunks.,1,0,0
46,Paras,"As its body grows large, oriental mushrooms named tochukaso start sprouting out of its back.",1,0,0
47,Parasect,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect’s actions.",1,0,0
47,Parasect,"It is controlled by the mushroom, which has grown larger than the bug body. It is said to prefer damp places.",1,0,0
47,Parasect,Parasect is controlled by a mushroom that has grown larger than its host’s body. The Pokémon scatters poisonous spores.,1,0,0
47,Parasect,The bug host is drained of energy by the mushrooms on its back. The mushroom appears to do all the thinking.,1,0,0
47,Parasect,"Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality.",1,0,0
47,Parasect,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.",1,0,0
47,Parasect,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.",1,0,0
47,Parasect,The large mushroom on its back controls it. It often fights over territory with Shiinotic.,1,0,0
47,Parasect,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",1,0,0
47,Parasect,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.",1,0,0
47,Parasect,A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores.,1,0,0
47,Parasect,"It stays mostly in dark, damp places, the preference not of the bug, but of the big mushroom on its back.",1,0,0
47,Parasect,It is controlled by a mushroom grown larger than the bug body. It is said to prefer damp places.,1,0,0
47,Parasect,"PARASECT are known to infest the roots of large trees en masse and drain nutrients. When an infested tree dies, they move onto another tree all at once.",1,0,0
47,Parasect,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,1,0,0
47,Parasect,"It scatters toxic spores from the mushroom cap. In China, the spores are used as herbal medicine.",1,0,0
47,Parasect,"When nothing’s left to extract from the bug, the mushrooms on its back leave spores on the bug’s egg.",1,0,0
47,Parasect,"It stays mostly in dark, damp places, the preference not of the bug, but of the big mushrooms on its back.",1,0,0
47,Parasect,The bug host is drained of energy by the mushrooms on its back. They appear to do all the thinking.,1,0,0
54,Psyduck,"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode.",0,1,0
54,Psyduck,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",0,1,0
54,Psyduck,"Suffers perpetual headaches. If the agony grows too great, Psyduck’s latent power erupts, contrary to Psyduck’s intent. Ergo, I am exploring ways to ease the pain.",0,1,0
54,Psyduck,"It never remembers using its odd powers, so it always tilts its head in puzzlement.",0,1,0
54,Psyduck,"If its usual headache worsens, it starts exhibiting odd powers. It can’t remember doing so, however.",0,1,0
54,Psyduck,"As Psyduck gets stressed out, its headache gets progressively worse. It uses intense psychic energy to overwhelm those around it.",0,1,0
54,Psyduck,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",0,1,0
54,Psyduck,"Always tormented by headaches. It uses psychic powers, but whether it intends to do so is not known.",0,1,0
54,Psyduck,It has been found that its brain cells are 10 times more active when Psyduck is experiencing a headache.,0,1,0
54,Psyduck,"Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible.",0,1,0
54,Psyduck,"This Pokémon is troubled by constant headaches. The more pain it’s in, the more powerful its psychokinesis becomes.",0,1,0
54,Psyduck,"As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.",0,1,0
54,Psyduck,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",0,1,0
54,Psyduck,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.",0,1,0
54,Psyduck,It has mystical powers but doesn’t recall that it has used them. That is why it always looks puzzled.,0,1,0
54,Psyduck,"When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power.",0,1,0
54,Psyduck,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers.",0,1,0
54,Psyduck,"When its headache intensifies, it starts using strange powers. However, it has no recollection of its powers, so it always looks befuddled and bewildered.",0,1,0
54,Psyduck,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",0,1,0
54,Psyduck,"PSYDUCK uses a mysterious power. When it does so, this POKéMON  generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.",0,1,0
54,Psyduck,The only time it can use its psychic power is when its sleeping brain cells happen to wake.,0,1,0
54,Psyduck,"Always tormented by headaches. It uses psychic powers, but it is not known if it intends to do so.",0,1,0
55,Golduck,"It swims gracefully along on the quiet, slow-moving rivers and lakes of which it is so fond.",0,1,0
55,Golduck,"When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.",0,1,0
55,Golduck,"Its body is strong, and it has webbing on its hands and feet. Golduck can swim easily through rough seas, clawing its way through the high waves.",0,1,0
55,Golduck,The flippers of its well-developed limbs give it shocking speed. It is the best swimmer among Pokémon.,0,1,0
55,Golduck,This Pokémon lives in lakes. It swims faster than any world-class swimmer.,0,1,0
55,Golduck,Old tales tell of Golduck punishing those that defiled its river. The guilty were dragged into the water and taken away.,0,1,0
55,Golduck,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",0,1,0
55,Golduck,"Its long, slim limbs end in broad flippers. They are used for swimming gracefully in lakes.",0,1,0
55,Golduck,"A professional swimmer, it can continue swimming for two days straight by waving its long tail skillfully.",0,1,0
55,Golduck,Even fast-swimming fish Pokémon can be disabled by Golduck. It brings them to a standstill and seizes them.,0,1,0
55,Golduck,It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.,0,1,0
55,Golduck,"It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.",0,1,0
55,Golduck,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",0,1,0
55,Golduck,The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. This Pokémon is definitely much faster than even the most athletic swimmer.,0,1,0
55,Golduck,"The forelegs are webbed, helping to make it an adept swimmer. It can be seen swimming elegantly in lakes, etc.",0,1,0
